gsm8k-train-3363	ref chain inverts 'one less pair' relation (batch 4 note)
gsm8k-train-1776	ref arithmetic wrong: 2250-2146=104 not 94 (batch 5)
gsm8k-train-3263	answer key inconsistent: asks cavities (4) but #### 16 (batch 22)
gsm8k-train-4838	question says six sections, ref uses four (batch 103)
gsm8k-train-167	ref arithmetic wrong: 192*100 written as 1920 (batch 69)
gsm8k-train-2770	ref steps sum to 108 but #### 106 (batch 74)
gsm8k-train-4842	ref tags papaya 3*1=3 then sums with 4 (batch 65)
gsm8k-train-4273	ref computes 200 then uses 220 in sum (batch 48)
gsm8k-train-2338	ref annotation 25+5=30 (batch 76)
gsm8k-train-356	ref steps sum to 64 but #### 66 (batch 93)
gsm8k-train-7444	ref writes 14*20=140 but #### 280 (batch 164)
gsm8k-train-4796	ref computes 120 but #### 140 (batch 178)
gsm8k-train-6417	ref chain uses $250 car payment vs stated $300 (batch 188)
gsm8k-train-2176	ref chain contradicts question (first sister twice age and 1 yr younger) (batch 32)
gsm8k-train-2937	ref ignores 2-monitors-per-15 ratio (batch 79)
